"File","Reason","Key change","Security impact","Regression impact"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/ContentParticipation.cs","CP-2 permission entity / attribution","Persist ContentParticipation relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/CreditUsageRecord.cs","CP-2 permission entity / attribution","Persist CreditUsageRecord relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/Team.cs","CP-2 permission entity / attribution","Persist Team relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/TeamBrand.cs","CP-2 permission entity / attribution","Persist TeamBrand relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/TeamChannelAccess.cs","CP-2 permission entity / attribution","Persist TeamChannelAccess relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Data/Model/TemporaryAccessGrant.cs","CP-2 permission entity / attribution","Persist TemporaryAccessGrant relation and scope fields","Represent current access separately from historical participation","Requires migration and stronger database constraints; not runtime production verified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/AccessControlModel.cs","EF authorization model","Define resource filters, relations and indexes","Tenant and historical scope predicates","Unscoped workers/direct SQL require separate enforcement"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/AccessControlPersistence.cs","Attribution and audit persistence","Assign creator/team attribution and validate tracked permission links","Immutable creator and scoped writes","Synchronous SaveChanges/background paths remain incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/AccessLinkValidation.cs","Relation consistency","Validate workspace/content/team/brand/channel/task/grant links","Reject cross-workspace authenticated relation writes","Application validation; not full DB constraints"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/AISAMContext.cs","Inject authorization context","Partial context and AccessScope constructor","Makes scoped query helpers available","Existing repository tests preserved"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/AnalyticsVisibilityQueries.cs","F-01/F-03/F-05 query separation","Filter campaign metrics and automation totals; explicit historical report query","Authorization before aggregation/projection","Npgsql translation tested; no live PostgreSQL execution"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/MemberVisibilityQueries.cs","F-02 member privacy","SQL projection of directory and permitted credit fields","Other-user sensitive values omitted before materialization","Operational dashboard/billing policy unresolved"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Migrations/20260904083332_PermissionAccessControl.cs","Schema support / migration safety","Add permission/channel schema; legacy Team preflight and rollback guard in PermissionAccessControl","Avoid fabricated Guid.Empty Workspace ownership","NOT DEPLOYABLE: legacy mapping/backfill and PostgreSQL migration tests incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Migrations/20260904083332_PermissionAccessControl.Designer.cs","Schema support / migration safety","Add permission/channel schema; legacy Team preflight and rollback guard in PermissionAccessControl","Avoid fabricated Guid.Empty Workspace ownership","NOT DEPLOYABLE: legacy mapping/backfill and PostgreSQL migration tests incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Migrations/20260904092723_CampaignChannelAttribution.cs","Schema support / migration safety","Add permission/channel schema; legacy Team preflight and rollback guard in PermissionAccessControl","Avoid fabricated Guid.Empty Workspace ownership","NOT DEPLOYABLE: legacy mapping/backfill and PostgreSQL migration tests incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Migrations/20260904092723_CampaignChannelAttribution.Designer.cs","Schema support / migration safety","Add permission/channel schema; legacy Team preflight and rollback guard in PermissionAccessControl","Avoid fabricated Guid.Empty Workspace ownership","NOT DEPLOYABLE: legacy mapping/backfill and PostgreSQL migration tests incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Migrations/AisamContextModelSnapshot.cs","Schema support / migration safety","Add permission/channel schema; legacy Team preflight and rollback guard in PermissionAccessControl","Avoid fabricated Guid.Empty Workspace ownership","NOT DEPLOYABLE: legacy mapping/backfill and PostgreSQL migration tests incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Repository/AutomationRepository.cs","F-03 count leakage","Compute counts from authorized automation items","Blocked channel items excluded from totals","No-channel draft policy remains unresolved"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Repository/ContentRepository.cs","F-05 historical joins","Creator reads avoid filtered Brand/Product inner joins","History survives Team removal without Brand access","Calendar/content regression tests pass"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Repository/PerformanceReportRepository.cs","F-01 aggregate leakage","Campaign aggregates use CampaignsForAnalytics","Filter sources before aggregation/pagination","Live PostgreSQL and broader cache tests still required"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/Repository/SubscriptionRepository.cs","F-07 quota scope","Usage methods call explicit workspace accounting helpers","Visibility no longer reduces accounting totals","Existing payment/workspace usage regression passes"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Repositories/WorkspaceAccountingQueries.cs","F-07 accounting correctness","Bypass actor visibility with explicit workspace predicates","Same workspace usage across all roles","Cross-workspace accounting denied in tests"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Exceptions/ResourceAccessDeniedException.cs","Safe deny semantics","Explicit action denial exception","Mapped to 403 without logging out client","HTTP mutation denial covered"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/AdCampaignService.cs","F-01 campaign analytics","Scoped metadata projection and deployment channel attribution","Campaign metrics use authorized integration","Legacy unattributed campaign metrics withheld for Manager"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/AdminSettingsService.cs","Audit secret protection","Single/batch events omit arbitrary values, names and descriptions","No credential plaintext in configuration audit payload","Three synthetic-secret audit tests pass"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/AnalyticsService.cs","Scoped analytics cache","Scope-sensitive keys and short TTL","Reduces stale/excessive cache reuse","Full revoke/expiration concurrency still unverified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/AuthService.cs","Current-session JWT","Include persisted session ID in tokens","Supports server-side revocation check","Compatibility requires reauthentication without sid"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs","Team access and expiry","Current Brand/Channel checks plus preserved participation","Expired grants checked independently of UI","Worker concurrency/task policy remains unresolved"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs","F-04 action enforcement","Resolve current permission and independent edit grants; batch capability evaluation","Deny OWN/temporary elevation to other mutations","Real PUT/revoke test; full action/job coverage incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs","Schedule action enforcement","Check content and selected integration before schedule changes","No schedule permission through CanEdit","Scheduled execution policy remains blocked"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/ContentService.cs","F-04/F-05 mutations","Guard lifecycle actions; content-only grants do not need generic Brand read","Immediate grant revocation blocks mutation","HTTP update/delete verification; background publish remains open"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/CreditService.cs","Accounting grant lookup","Read grant history independent of actor visibility","Prevents duplicate/mis-scoped free-credit calculation","Team-at-event attribution still incomplete"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/PromptEnhancerService.cs","Prior regression fix preserved","Stricter translation validation; retain valid product names/typography","No permission-model expansion","Existing/new prompt regression tests pass"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/ResourceAccessService.cs","Current database permissions","Separate historical IDs, validate assigned/temp Team/Channel and keep filters enforced","No historical Brand expansion or stale grant elevation","Manager role/multi-team policy and scale unverified"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/WorkspaceDashboardService.cs","F-02 dashboard members","Restrict member source before materialization","Limit member ranking inputs","Wallet/quota field policy remains unresolved"
"D:/final/AISAM-FINAL/AISAM-BE/AISAM.Services/Service/WorkspaceMemberService.cs","F-02 directory output","Use SQL scoped member projection in production context","No blanket sensitive member DTO","Old unit-test fallback retained; query tests added"
"D:/final/AISAM-FINAL/AISAM-BE/tests/AISAM.IntegrationTests/ContentCalendarRepositoryTests.cs","Prior query regression evidence","Exercise SQLite calendar filtering","Detect query-filter translation regression","Included in 477 passing BE tests"
"D:/final/AISAM-FINAL/AISAM-BE/tests/AISAM.IntegrationTests/PermissionHttpTests.cs","Runtime security coverage","20 tests with signed JWT and real middleware/controller pipeline","Revocation, role downgrade, direct mutation and ID tampering","No real production DB/providers contacted"
"D:/final/AISAM-FINAL/AISAM-BE/tests/AISAM.IntegrationTests/PermissionSecurityTests.cs","Security/query regression","29 tests including scope, grants, accounting, audit, links and Npgsql translation","Negative role/resource assertions","28 SQLite/pure cases plus translation; not PG migration runtime"
"D:/final/AISAM-FINAL/AISAM-BE/tests/AISAM.IntegrationTests/PromptEnhancerTests.cs","Prior regression evidence","Cover prompt translation edge cases","No security boundary change","Included in 477 passing BE tests"
"D:/final/AISAM-FINAL/AISAM-FE/src/app/(dashboard)/brands/[id]/page.tsx","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/app/(dashboard)/campaigns/page.tsx","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/app/(dashboard)/content/[id]/page.tsx","Resource-aware content actions","Fetch server action capabilities; suppress forbidden actions and stale autosave","OWN/history alone cannot expose mutation UX","BE remains authoritative; build verified"
"D:/final/AISAM-FINAL/AISAM-FE/src/app/(dashboard)/dashboard/page.tsx","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/app/(dashboard)/layout.tsx","Current role UI integration","Use current backend role/capabilities in navigation and feature guards","Frontend stays UX-only security boundary","FE build/tests pass; not full E2E"
"D:/final/AISAM-FINAL/AISAM-FE/src/app/(dashboard)/own-analytics/page.tsx","Creator analytics/history UI","Call personal analytics and creator-history contracts with pagination","No aggregate analytics endpoint for Creator","Build verified; live user journey not tested"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/campaigns/__tests__/campaignUtils.test.ts","FE security regression","Test protected rendering, revocation and omitted metrics","Ensure hidden/cleared protected UI","5 new tests; complete FE suite 75 pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/campaigns/CampaignCard.tsx","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/campaigns/CampaignDetailModal.tsx","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/campaigns/CampaignStatsCards.tsx","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/campaigns/campaignUtils.ts","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/layout/Sidebar.tsx","Current role UI integration","Use current backend role/capabilities in navigation and feature guards","Frontend stays UX-only security boundary","FE build/tests pass; not full E2E"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/MemberCard.tsx","Member DTO privacy contract","Only render/load credit details when returned as permitted","Avoid forbidden credit-history calls","FE build verified"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/MemberDetailModal.tsx","Member DTO privacy contract","Only render/load credit details when returned as permitted","Avoid forbidden credit-history calls","FE build verified"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/TeamBrandAccessEditor.tsx","Real Team/Brand/Channel UX","Use Team APIs and ALL/SPECIFIC editor; translate member IDs","No mock Team CRUD or unauthorized target matrix","Invitation Team assignment still incomplete"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/TeamCard.tsx","Remove fabricated Team activity","Show unavailable state or omit unsupported activity metric","No misleading synthetic performance","Build verified; no Team activity API added"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/TeamDetailModal.tsx","Real Team/Brand/Channel UX","Use Team APIs and ALL/SPECIFIC editor; translate member IDs","No mock Team CRUD or unauthorized target matrix","Invitation Team assignment still incomplete"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/TeamListView.tsx","Remove fabricated Team activity","Show unavailable state or omit unsupported activity metric","No misleading synthetic performance","Build verified; no Team activity API added"
"D:/final/AISAM-FINAL/AISAM-FE/src/components/team/TeamStatsCards.tsx","Remove fabricated Team activity","Show unavailable state or omit unsupported activity metric","No misleading synthetic performance","Build verified; no Team activity API added"
"D:/final/AISAM-FINAL/AISAM-FE/src/contexts/__tests__/AccessContext.test.tsx","FE security regression","Test protected rendering, revocation and omitted metrics","Ensure hidden/cleared protected UI","5 new tests; complete FE suite 75 pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/contexts/AccessContext.tsx","Current permission and protected cache lifecycle","Load DB-derived context; invalidate/reset on workspace/permission/403","Clear protected UI/cache without treating 403 as logout","FE build and tests pass; full browser E2E missing"
"D:/final/AISAM-FINAL/AISAM-FE/src/hooks/useContentActions.ts","Resource-aware content actions","Fetch server action capabilities; suppress forbidden actions and stale autosave","OWN/history alone cannot expose mutation UX","BE remains authoritative; build verified"
"D:/final/AISAM-FINAL/AISAM-FE/src/hooks/useFeatureGate.ts","Current role UI integration","Use current backend role/capabilities in navigation and feature guards","Frontend stays UX-only security boundary","FE build/tests pass; not full E2E"
"D:/final/AISAM-FINAL/AISAM-FE/src/hooks/useWorkspaces.ts","Current permission and protected cache lifecycle","Load DB-derived context; invalidate/reset on workspace/permission/403","Clear protected UI/cache without treating 403 as logout","FE build and tests pass; full browser E2E missing"
"D:/final/AISAM-FINAL/AISAM-FE/src/lib/accessEvents.ts","Current permission and protected cache lifecycle","Load DB-derived context; invalidate/reset on workspace/permission/403","Clear protected UI/cache without treating 403 as logout","FE build and tests pass; full browser E2E missing"
"D:/final/AISAM-FINAL/AISAM-FE/src/lib/apiClient.ts","Current permission and protected cache lifecycle","Load DB-derived context; invalidate/reset on workspace/permission/403","Clear protected UI/cache without treating 403 as logout","FE build and tests pass; full browser E2E missing"
"D:/final/AISAM-FINAL/AISAM-FE/src/lib/featureConfig.ts","Current role UI integration","Use current backend role/capabilities in navigation and feature guards","Frontend stays UX-only security boundary","FE build/tests pass; not full E2E"
"D:/final/AISAM-FINAL/AISAM-FE/src/services/analyticsService.ts","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/services/brandService.ts","Protected Brand/Product cache","Clear cached metadata and discard old responses after permission change","No cross-workspace stale metadata cache","Build and permission context tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/services/campaignService.ts","F-01 nullable analytics contract","Filter unauthorized campaign metrics and render missing values safely","Do not display absent metrics as actual zero/NaN","FE build; campaign utility tests pass"
"D:/final/AISAM-FINAL/AISAM-FE/src/services/teamService.ts","Real Team/Brand/Channel UX","Use Team APIs and ALL/SPECIFIC editor; translate member IDs","No mock Team CRUD or unauthorized target matrix","Invitation Team assignment still incomplete"
"D:/final/AISAM-FINAL/AISAM-MB/lib/app/router.dart","Resource-aware navigation","Gate analytics/create/edit/schedule/review with BE capabilities","Cached role alone does not authorize routes","APK build; full UI navigation tests missing"
"D:/final/AISAM-FINAL/AISAM-MB/lib/app/router.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/core/network/access_events.dart","Mobile revocation and secret logging","403 invalidation, periodic/focus refresh and payload-free HTTP logs","Clear protected UI; avoid token/body logging","Tests/build pass; full session/device regression incomplete"
"D:/final/AISAM-FINAL/AISAM-MB/lib/core/network/api_client.dart","Mobile revocation and secret logging","403 invalidation, periodic/focus refresh and payload-free HTTP logs","Clear protected UI; avoid token/body logging","Tests/build pass; full session/device regression incomplete"
"D:/final/AISAM-FINAL/AISAM-MB/lib/core/network/api_client.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/core/network/auth_interceptor.dart","Mobile revocation and secret logging","403 invalidation, periodic/focus refresh and payload-free HTTP logs","Clear protected UI; avoid token/body logging","Tests/build pass; full session/device regression incomplete"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/data/access_context.dart","Backend permission integration","Fetch current workspace context and content actions","No reliance solely on cached role","3 capability tests + APK build; complete device flow unverified"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/data/access_context.freezed.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/data/access_context.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/data/access_repository.dart","Backend permission integration","Fetch current workspace context and content actions","No reliance solely on cached role","3 capability tests + APK build; complete device flow unverified"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/presentation/access_boundary.dart","Mobile revocation and secret logging","403 invalidation, periodic/focus refresh and payload-free HTTP logs","Clear protected UI; avoid token/body logging","Tests/build pass; full session/device regression incomplete"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/presentation/access_providers.dart","Backend permission integration","Fetch current workspace context and content actions","No reliance solely on cached role","3 capability tests + APK build; complete device flow unverified"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/access/presentation/own_analytics_screen.dart","Creator personal analytics screen","Use own analytics API contract","Viewer cannot fetch protected personal analytics","Provider tests and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/content/presentation/content_detail_screen.dart","Protected screen state/action integration","Watch current permission and clear/reload protected content; gate dashboard/actions","Avoid stale content after permission changes","APK/tests pass; remaining screens need broader coverage"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/content/presentation/content_list_screen.dart","Protected screen state/action integration","Watch current permission and clear/reload protected content; gate dashboard/actions","Avoid stale content after permission changes","APK/tests pass; remaining screens need broader coverage"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/content/presentation/providers/content_editor_controller.dart","Protected screen state/action integration","Watch current permission and clear/reload protected content; gate dashboard/actions","Avoid stale content after permission changes","APK/tests pass; remaining screens need broader coverage"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/content/presentation/providers/content_editor_controller.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/content/presentation/providers/content_list_controller.dart","Protected screen state/action integration","Watch current permission and clear/reload protected content; gate dashboard/actions","Avoid stale content after permission changes","APK/tests pass; remaining screens need broader coverage"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/content/presentation/providers/content_list_controller.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/dashboard/presentation/dashboard_controller.dart","Protected screen state/action integration","Watch current permission and clear/reload protected content; gate dashboard/actions","Avoid stale content after permission changes","APK/tests pass; remaining screens need broader coverage"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/dashboard/presentation/dashboard_controller.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/workspace/presentation/providers/workspace_controller.dart","Protected screen state/action integration","Watch current permission and clear/reload protected content; gate dashboard/actions","Avoid stale content after permission changes","APK/tests pass; remaining screens need broader coverage"
"D:/final/AISAM-FINAL/AISAM-MB/lib/features/workspace/presentation/providers/workspace_controller.g.dart","Generated Flutter contract/provider update","Regenerated from current sources with build_runner","Defaults/capabilities align with BE DTO","Generated successfully; analyzer 0 errors and APK build pass"
"D:/final/AISAM-FINAL/AISAM-MB/test/features/access/access_test.dart","Mobile permission regression","3 tests for missing flags and Creator/Viewer personal analytics","Reject role-only capability inference","3 meaningful new tests; 4 existing tests are dummy"
